"","wgEncodeBroadHistoneHsmmCtcfStdPk.broadPeak","wgEncodeBroadHistoneHsmmEzh239875Pk.broadPeak","wgEncodeBroadHistoneHsmmH2azStdPk.broadPeak","wgEncodeBroadHistoneHsmmH3k27acStdPk.broadPeak","wgEncodeBroadHistoneHsmmH3k27me3StdPk.broadPeak","wgEncodeBroadHistoneHsmmH3k36me3StdPk.broadPeak","wgEncodeBroadHistoneHsmmH3k4me1StdPk.broadPeak","wgEncodeBroadHistoneHsmmH3k4me2StdPk.broadPeak","wgEncodeBroadHistoneHsmmH3k4me3StdPk.broadPeak","wgEncodeBroadHistoneHsmmH3k79me2StdPk.broadPeak","wgEncodeBroadHistoneHsmmH3k9acStdPk.broadPeak","wgEncodeBroadHistoneHsmmH3k9me3StdPk.broadPeak","wgEncodeBroadHistoneHsmmH4k20me1StdPk.broadPeak","wgEncodeBroadHistoneHsmmtCtcfStdPk.broadPeak","wgEncodeBroadHistoneHsmmtEzh239875Pk.broadPeak","wgEncodeBroadHistoneHsmmtH2azStdPk.broadPeak","wgEncodeBroadHistoneHsmmtH3k09me3Pk.broadPeak","wgEncodeBroadHistoneHsmmtH3k27acStdPk.broadPeak","wgEncodeBroadHistoneHsmmtH3k27me3Pk.broadPeak","wgEncodeBroadHistoneHsmmtH3k36me3StdPk.broadPeak","wgEncodeBroadHistoneHsmmtH3k4me1StdPk.broadPeak","wgEncodeBroadHistoneHsmmtH3k4me2StdPk.broadPeak","wgEncodeBroadHistoneHsmmtH3k4me3StdPk.broadPeak","wgEncodeBroadHistoneHsmmtH3k79me2StdPk.broadPeak","wgEncodeBroadHistoneHsmmtH3k9acStdPk.broadPeak","wgEncodeBroadHistoneHsmmtH4k20me1StdPk.broadPeak"
"wgEncodeBroadHistoneHsmmH4k20me1StdPk.broadPeak",0.0441094341247948,0.292759827060233,0.0990407232204433,0.0933793833162626,0.226906536756824,0.324452958843412,0.177313111181146,0.133216206292727,0.065232308657973,0.293471678340583,0.110051980001052,0.164379561938372,1,0.10556187095579,0.108533841141564,0.102168084502419,0.170556352469353,0.109975755623013,0.2260234974346,0.315372680588814,0.216192813903136,0.137542946924262,0.122080803297565,0.319135388489171,0.137088075408297,0.299494102211928
"wgEncodeBroadHistoneHsmmtCtcfStdPk.broadPeak",0.232001690922102,0.102197032161421,0.144889474455934,0.157577779432484,0.068850471788009,0.114812396133647,0.174187107369586,0.174646178697452,0.12638392481623,0.112971581338075,0.167628108905741,0.0785406914389611,0.10556187095579,1,0.0751726490299543,0.158394888085794,0.0720592728767857,0.168294784669195,0.0501463769522778,0.115768076762511,0.17556317032542,0.180241418131361,0.176596049403788,0.120731016706198,0.191606416298389,0.126180075211182
"wgEncodeBroadHistoneHsmmtEzh239875Pk.broadPeak",0.0421281890184313,0.127114952728459,0.0948246283054006,0.0535072192143801,0.148616368109576,0.0640781506986955,0.0819472071306234,0.07723336962183,0.0510367538279639,0.0507435696595154,0.0580928155892333,0.0945284495350123,0.108533841141564,0.0751726490299543,1,0.100482613771642,0.11468793978787,0.0594418976701204,0.133234429890356,0.0606841740388776,0.092440895671978,0.0819192814508161,0.074928966078709,0.0563307380079522,0.0736347001261804,0.0666892518160855
"wgEncodeBroadHistoneHsmmtH2azStdPk.broadPeak",0.0850880796524907,0.164594912026837,0.399149659686173,0.236261309737728,0.10348071660066,0.122996604482999,0.266504324533179,0.295746274750566,0.206665197997152,0.0990522677356496,0.216046212482762,0.123878394251573,0.102168084502419,0.158394888085794,0.100482613771642,1,0.123306589562425,0.253570122798124,0.0842928301199495,0.0930840147003559,0.275606732520658,0.307976010188755,0.268542421572406,0.106316208674056,0.277736457394412,0.0964052200890084
"wgEncodeBroadHistoneHsmmtH3k09me3Pk.broadPeak",0.0286608460570783,0.271713228361195,0.135297279131171,0.0510936591055334,0.271715042879422,0.112825563065757,0.0994388790316359,0.0692825654896579,0.0268418226962353,0.0587462571089701,0.0533831416894966,0.360824466141148,0.170556352469353,0.0720592728767857,0.11468793978787,0.123306589562425,1,0.0603206779663391,0.268997527895351,0.100238442876605,0.128306814379876,0.0755857548919261,0.0780305626940874,0.0733351061505081,0.0788387709911531,0.0788174006445475
"wgEncodeBroadHistoneHsmmtH3k27acStdPk.broadPeak",0.0839587566411181,0.109140925353883,0.212210597962415,0.437702424119701,0.0417438506789487,0.156038696253851,0.323390664281946,0.364120054872304,0.237115055256215,0.173572675552028,0.312487323450741,0.0759050556185256,0.109975755623013,0.168294784669195,0.0594418976701204,0.253570122798124,0.0603206779663391,1,0.032177680804398,0.144071423563044,0.324541486882675,0.406741637430594,0.323115283977686,0.177210540618529,0.441868030322902,0.162917290951255
"wgEncodeBroadHistoneHsmmtH3k27me3Pk.broadPeak",0.0240596056534844,0.271727542702093,0.0834642079992148,0.0224861908398047,0.532945186829939,0.0551914311585052,0.0562251391162779,0.0424968813344939,0.0211461238205013,0.0286433831687526,0.0295195927172598,0.174794654305023,0.2260234974346,0.0501463769522778,0.133234429890356,0.0842928301199495,0.268997527895351,0.032177680804398,1,0.0582207599607288,0.0832266449952886,0.0484579673255806,0.0475184074239156,0.0365112417011109,0.0460831873483593,0.0540900180697063
"wgEncodeBroadHistoneHsmmtH3k36me3StdPk.broadPeak",0.0449139725911582,0.228834924831027,0.0957861788222187,0.125192588846158,0.064471097032885,0.618137499724395,0.201798112102799,0.153126163160634,0.074358978923313,0.371514013260702,0.13687569673237,0.137277121604079,0.315372680588814,0.115768076762511,0.0606841740388776,0.0930840147003559,0.100238442876605,0.144071423563044,0.0582207599607288,1,0.239299578515034,0.16047883391918,0.153166955096135,0.422606391883574,0.17373064765226,0.34444861407143
"wgEncodeBroadHistoneHsmmtH3k4me1StdPk.broadPeak",0.0693646567111285,0.223591611716736,0.257354800097322,0.262762017776127,0.101997798008348,0.269685200559896,0.437919753014675,0.334161279778179,0.137762484147749,0.245381808994625,0.233762135289614,0.155342491716856,0.216192813903136,0.17556317032542,0.092440895671978,0.275606732520658,0.128306814379876,0.324541486882675,0.0832266449952886,0.239299578515034,1,0.351763930898729,0.270488940039092,0.27169418935489,0.336372479805764,0.250600318066482
"wgEncodeBroadHistoneHsmmtH3k4me2StdPk.broadPeak",0.0959790326407497,0.138181238585039,0.271312338829635,0.362092935148263,0.0649017245935235,0.17907805994331,0.356059190266472,0.472868806260156,0.319552190352326,0.205294263766494,0.32829037115316,0.0923712782791648,0.137542946924262,0.180241418131361,0.0819192814508161,0.307976010188755,0.0755857548919261,0.406741637430594,0.0484579673255806,0.16047883391918,0.351763930898729,1,0.395062517045325,0.210949356192901,0.422066153868986,0.187180527950917
"wgEncodeBroadHistoneHsmmtH3k4me3StdPk.broadPeak",0.0887657931821249,0.127135867477721,0.238087389020216,0.305350434890332,0.0649636294284596,0.163787400480685,0.276145763885183,0.357154924422733,0.324780901255543,0.184339215375322,0.297375407574853,0.0949011879232761,0.122080803297565,0.176596049403788,0.074928966078709,0.268542421572406,0.0780305626940874,0.323115283977686,0.0475184074239156,0.153166955096135,0.270488940039092,0.395062517045325,1,0.192949844576936,0.351433752680039,0.164485815769516
"wgEncodeBroadHistoneHsmmtH3k79me2StdPk.broadPeak",0.0523617347857768,0.206151332701554,0.109977712164981,0.170227660521971,0.0459698196705711,0.4617423562822,0.255413311417979,0.218198890595053,0.121023664695832,0.673426123739797,0.189851059353724,0.11653184143476,0.319135388489171,0.120731016706198,0.0563307380079522,0.106316208674056,0.0733351061505081,0.177210540618529,0.0365112417011109,0.422606391883574,0.27169418935489,0.210949356192901,0.192949844576936,1,0.207659910194969,0.447153357821849
"wgEncodeBroadHistoneHsmmtH3k9acStdPk.broadPeak",0.0916921010992594,0.132703252461306,0.241463100124845,0.37153812141741,0.0669109763672278,0.185487589509673,0.329557559194855,0.373325703575108,0.255738661592023,0.196706607067678,0.325930037634468,0.0965961640648408,0.137088075408297,0.191606416298389,0.0736347001261804,0.277736457394412,0.0788387709911531,0.441868030322902,0.0460831873483593,0.17373064765226,0.336372479805764,0.422066153868986,0.351433752680039,0.207659910194969,1,0.185905653591259
"wgEncodeBroadHistoneHsmmtH4k20me1StdPk.broadPeak",0.0544976336453717,0.182719639805788,0.0971899714273411,0.143561301715224,0.0662796607189252,0.337582813399342,0.224999489652922,0.185404299756242,0.0952822621273691,0.412118676296305,0.156846520042607,0.107840720839923,0.299494102211928,0.126180075211182,0.0666892518160855,0.0964052200890084,0.0788174006445475,0.162917290951255,0.0540900180697063,0.34444861407143,0.250600318066482,0.187180527950917,0.164485815769516,0.447153357821849,0.185905653591259,1
