,,infomap,walktrap,edge_betweenness,fast_greedy,label_prop,leading_eigen,louvain
wgEncodeHaibTfbsH1hescHdac2sc6296V0416102PkRep1.broadPeak,Hdac2sc6296V0416102PkRep1,17,17,17,17,16,15,14
wgEncodeHaibTfbsH1hescJundV0416102PkRep1.broadPeak,JundV0416102PkRep1,18,18,18,18,17,16,15
wgEncodeHaibTfbsH1hescMaxV0422111PkRep1.broadPeak,MaxV0422111PkRep1,1,2,11,2,11,11,31
wgEncodeHaibTfbsH1hescNanogsc33759V0416102PkRep1.broadPeak,Nanogsc33759V0416102PkRep1,19,19,19,19,18,17,16
wgEncodeHaibTfbsH1hescNrsfV0416102PkRep1.broadPeak,NrsfV0416102PkRep1,20,20,20,20,19,18,17
wgEncodeHaibTfbsH1hescP300V0416102PkRep1.broadPeak,P300V0416102PkRep1,21,21,21,21,20,19,18
wgEncodeHaibTfbsH1hescPol24h8V0416102PkRep1.broadPeak,Pol24h8V0416102PkRep1,1,2,11,2,11,11,31
wgEncodeHaibTfbsH1hescPol2V0416102PkRep1.broadPeak,Pol2V0416102PkRep1,1,2,11,2,11,11,31
wgEncodeHaibTfbsH1hescPou5f1sc9081V0416102PkRep1.broadPeak,Pou5f1sc9081V0416102PkRep1,22,22,22,22,21,20,19
wgEncodeHaibTfbsH1hescRad21V0416102PkRep1.broadPeak,Rad21V0416102PkRep1,3,3,12,5,12,37,33
wgEncodeHaibTfbsH1hescRxraV0416102PkRep1.broadPeak,RxraV0416102PkRep1,23,23,23,23,22,21,20
wgEncodeHaibTfbsH1hescSin3ak20Pcr1xPkRep1.broadPeak,Sin3ak20Pcr1xPkRep1,1,2,11,2,11,11,31
wgEncodeHaibTfbsH1hescSix5Pcr1xPkRep1.broadPeak,Six5Pcr1xPkRep1,24,24,24,24,23,22,21
wgEncodeHaibTfbsH1hescSp1Pcr1xPkRep1.broadPeak,Sp1Pcr1xPkRep1,1,2,11,2,11,11,31
wgEncodeHaibTfbsH1hescSp2V0422111PkRep1.broadPeak,Sp2V0422111PkRep1,25,25,25,25,24,23,22
wgEncodeHaibTfbsH1hescSp4v20V0422111PkRep1.broadPeak,Sp4v20V0422111PkRep1,1,2,11,2,11,11,31
wgEncodeHaibTfbsH1hescSrfPcr1xPkRep1.broadPeak,SrfPcr1xPkRep1,26,26,26,26,25,24,23
wgEncodeHaibTfbsH1hescTaf1V0416102PkRep1.broadPeak,Taf1V0416102PkRep1,1,2,11,2,11,11,31
wgEncodeHaibTfbsH1hescTaf7sc101167V0416102PkRep1.broadPeak,Taf7sc101167V0416102PkRep1,27,27,27,27,26,25,24
wgEncodeHaibTfbsH1hescTcf12Pcr1xPkRep1.broadPeak,Tcf12Pcr1xPkRep1,28,28,28,28,27,26,25
wgEncodeHaibTfbsH1hescTead4sc101184V0422111PkRep1.broadPeak,Tead4sc101184V0422111PkRep1,29,29,29,29,28,27,26
wgEncodeHaibTfbsH1hescUsf1Pcr1xPkRep1.broadPeak,Usf1Pcr1xPkRep1,5,5,30,3,29,28,36
wgEncodeHaibTfbsH1hescYy1sc281V0416102PkRep1.broadPeak,Yy1sc281V0416102PkRep1,1,2,11,2,11,11,31
wgEncodeSydhTfbsH1hescBach1sc14700IggrabPk.narrowPeak,Bach1sc14700IggrabPk,1,2,11,2,11,11,31
wgEncodeSydhTfbsH1hescBrca1IggrabPk.narrowPeak,Brca1IggrabPk,30,30,31,30,30,29,27
wgEncodeSydhTfbsH1hescCebpbIggrabPk.narrowPeak,CebpbIggrabPk,31,31,32,31,31,30,28
wgEncodeSydhTfbsH1hescChd1a301218aIggrabPk.narrowPeak,Chd1a301218aIggrabPk,1,2,11,2,11,11,31
wgEncodeSydhTfbsH1hescChd2IggrabPk.narrowPeak,Chd2IggrabPk,1,2,11,2,11,11,31
wgEncodeSydhTfbsH1hescCjunIggrabPk.narrowPeak,CjunIggrabPk,32,32,33,32,32,31,29
wgEncodeSydhTfbsH1hescCmycIggrabPk.narrowPeak,CmycIggrabPk,1,2,11,2,11,11,31
wgEncodeSydhTfbsH1hescCtbp2UcdPk.narrowPeak,Ctbp2UcdPk,1,2,11,2,11,11,31
wgEncodeSydhTfbsH1hescGtf2f1IggrabPk.narrowPeak,Gtf2f1IggrabPk,1,2,11,2,11,11,31
wgEncodeSydhTfbsH1hescJundIggrabPk.narrowPeak,JundIggrabPk,1,2,11,2,11,11,31
wgEncodeSydhTfbsH1hescMafkIggrabPk.narrowPeak,MafkIggrabPk,33,33,34,33,33,32,30
wgEncodeSydhTfbsH1hescMaxUcdPk.narrowPeak,MaxUcdPk,1,2,11,2,11,11,31
wgEncodeSydhTfbsH1hescMxi1IggrabPk.narrowPeak,Mxi1IggrabPk,1,2,11,2,11,11,31
wgEncodeSydhTfbsH1hescNrf1IggrabPk.narrowPeak,Nrf1IggrabPk,34,34,35,34,34,33,32
wgEncodeSydhTfbsH1hescRad21IggrabPk.narrowPeak,Rad21IggrabPk,3,3,12,5,12,37,33
wgEncodeSydhTfbsH1hescRfx5200401194IggrabPk.narrowPeak,Rfx5200401194IggrabPk,35,35,36,35,35,34,34
wgEncodeSydhTfbsH1hescSin3anb6001263IggrabPk.narrowPeak,Sin3anb6001263IggrabPk,1,2,11,2,11,11,31
wgEncodeSydhTfbsH1hescSuz12UcdPk.narrowPeak,Suz12UcdPk,36,36,37,36,36,35,35
wgEncodeSydhTfbsH1hescTbpIggrabPk.narrowPeak,TbpIggrabPk,1,2,11,2,11,11,31
wgEncodeSydhTfbsH1hescUsf2IggrabPk.narrowPeak,Usf2IggrabPk,5,5,30,3,29,28,36
wgEncodeSydhTfbsH1hescZnf143IggrabPk.narrowPeak,Znf143IggrabPk,3,3,12,5,11,37,33
wgEncodeSydhTfbsH1hescZnf274m01UcdPk.narrowPeak,Znf274m01UcdPk,37,37,38,37,37,36,37
