"","wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Creb1sc240V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1CtcfcV0416102Dm002p1hPkRep1.broadPeak","wgEncodeHaibTfbsEcc1Egr1V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1EraaV0416102Bpa1hPkRep1.broadPeak","wgEncodeHaibTfbsEcc1EralphaaV0416102Est10nm1hPkRep1.broadPeak","wgEncodeHaibTfbsEcc1EralphaaV0416102Gen1hPkRep1.broadPeak","wgEncodeHaibTfbsEcc1Foxa1sc6553V0416102Dm002p1hPkRep1.broadPeak","wgEncodeHaibTfbsEcc1Foxm1sc502V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1GrV0416102Dex100nmPkRep1.broadPeak","wgEncodeHaibTfbsEcc1MaxV0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Nficsc81335V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1NrsfV0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1P300V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Pol2V0416102Dm002p1hPkRep1.broadPeak","wgEncodeHaibTfbsEcc1Rad21V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1SrfV0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Taf1V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Tcf12V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Tead4sc101184V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Usf1V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Yy1sc281V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Zbtb7aV0422111PkRep1.broadPeak"
"wgEncodeHaibTfbsEcc1MaxV0422111PkRep1.broadPeak",0.117161533315673,0.0761075813918813,0.0303438612492277,0.109204749264028,0.0248881336115011,0.0892866428556356,0.0467108804367359,0.0219042495588833,0.144117414075094,0.0778118681863263,1,0.19432573762717,0.0453182272188889,0.332579171639118,0.350929166276718,0.124770856225959,0.145431579285692,0.399681251324665,0.513296911478878,0.255551679529402,0.193322187560837,0.279382549363943,0.238944643847775
"wgEncodeHaibTfbsEcc1Nficsc81335V0422111PkRep1.broadPeak",0.138098696560804,0.0176603132769148,0.0108028510423005,0.0405741375131015,0.0414617557560794,0.152236876305288,0.0771712516705455,0.0364052488534172,0.242882840187414,0.123683168559345,0.19432573762717,1,0.0139298158480028,0.378926172695465,0.0710973641464786,0.0911958657279872,0.0895763820004494,0.0564779318585242,0.283291116270463,0.32031204687203,0.0782436421265844,0.0909646170128302,0.0891412174456653
"wgEncodeHaibTfbsEcc1NrsfV0422111PkRep1.broadPeak",0.0197535273508496,0.0215960605273445,0.0102068766272272,0.0391453415369726,0.00490476601764214,0.008804460336569,0.00699245329910904,0.00601934827810026,0.0130263257641629,0.0115866019594461,0.0453182272188889,0.0139298158480028,1,0.0301313540986244,0.0437949098399975,0.017707277035967,0.0361412518291504,0.0566908176674817,0.0432469202244617,0.0268528118764861,0.0368406242189314,0.0586424395840092,0.0433183971660985
"wgEncodeHaibTfbsEcc1P300V0422111PkRep1.broadPeak",0.152105320422152,0.0441761918284549,0.0142356199671449,0.0834991681882394,0.040115420821018,0.157860274723255,0.0784503768104229,0.0357132777502338,0.257303243984082,0.12102738913759,0.332579171639118,0.378926172695465,0.0301313540986244,1,0.187714765748352,0.11052984579826,0.139456642247941,0.189173425971188,0.471269307789937,0.431580092022531,0.124425217618765,0.181480555117906,0.170186124395787
"wgEncodeHaibTfbsEcc1Pol2V0416102Dm002p1hPkRep1.broadPeak",0.066161401809763,0.0940028787837974,0.0190982834918039,0.123202505361256,0.0106404697124486,0.0333939440251733,0.0190985208804624,0.0103595361690307,0.0670142147508405,0.033353789502607,0.350929166276718,0.0710973641464786,0.0437949098399975,0.187714765748352,1,0.0639894659404925,0.135087828367959,0.511836415250616,0.337982056334371,0.134537134585103,0.149357360658997,0.299252263334577,0.21021787099151
"wgEncodeHaibTfbsEcc1Rad21V0422111PkRep1.broadPeak",0.0658660979757834,0.013084452621738,0.258088988230348,0.0324302425237866,0.0183067070388239,0.0542628641237306,0.0313845910530487,0.0133063289357232,0.0754874903894199,0.0520886703419713,0.124770856225959,0.0911958657279872,0.017707277035967,0.11052984579826,0.0639894659404925,1,0.056388721999527,0.0610166398223535,0.132490903906686,0.11166485193933,0.0555348820120737,0.0814856134378027,0.0798424259984166
"wgEncodeHaibTfbsEcc1SrfV0422111PkRep1.broadPeak",0.12728661280939,0.145286016393513,0.0181017922633552,0.102451679543493,0.0411909428992995,0.0719269424206736,0.057236536507865,0.0356689516098127,0.148543646699884,0.0933786476773979,0.145431579285692,0.0895763820004494,0.0361412518291504,0.139456642247941,0.135087828367959,0.056388721999527,1,0.161206589601163,0.149240304144324,0.139631388738513,0.132958385548576,0.207771205527705,0.0781663053642171
"wgEncodeHaibTfbsEcc1Taf1V0422111PkRep1.broadPeak",0.0669533163404693,0.127302347990709,0.0225201841719506,0.159746754048334,0.00501383928724476,0.019245324697121,0.0106404236223069,0.0103352008891607,0.0581147987885397,0.0204311399162932,0.399681251324665,0.0564779318585242,0.0566908176674817,0.189173425971188,0.511836415250616,0.0610166398223535,0.161206589601163,1,0.379079721490104,0.123257212681868,0.177904692146993,0.389703741651637,0.266135059465227
"wgEncodeHaibTfbsEcc1Tcf12V0422111PkRep1.broadPeak",0.130364114903765,0.0715721783264399,0.0314488771044124,0.110237069851982,0.0323046432785144,0.128132613575906,0.0638525709326128,0.0285149474638783,0.183731476799497,0.0995627476497817,0.513296911478878,0.283291116270463,0.0432469202244617,0.471269307789937,0.337982056334371,0.132490903906686,0.149240304144324,0.379079721490104,1,0.326008160749709,0.161239661649427,0.269598656927855,0.259319039866995
"wgEncodeHaibTfbsEcc1Tead4sc101184V0422111PkRep1.broadPeak",0.173998801582066,0.0402459612033413,0.0203785545673186,0.0737697105076109,0.0466856611673305,0.154911011840726,0.083908671717299,0.0424194882879087,0.264675933537495,0.141916591696907,0.255551679529402,0.32031204687203,0.0268528118764861,0.431580092022531,0.134537134585103,0.11166485193933,0.139631388738513,0.123257212681868,0.326008160749709,1,0.116190884688864,0.1623863990956,0.111110349747793
"wgEncodeHaibTfbsEcc1Usf1V0422111PkRep1.broadPeak",0.0919136556219101,0.0856640343033215,0.0214907313368584,0.097449199482154,0.020347245380032,0.0503155732457024,0.0337183744840951,0.0194666074671776,0.0774756466533788,0.0569331791132587,0.193322187560837,0.0782436421265844,0.0368406242189314,0.124425217618765,0.149357360658997,0.0555348820120737,0.132958385548576,0.177904692146993,0.161239661649427,0.116190884688864,1,0.186759059874721,0.094819063266648
"wgEncodeHaibTfbsEcc1Yy1sc281V0422111PkRep1.broadPeak",0.117893853884695,0.137732936688042,0.0337450857440651,0.15502367301542,0.0287899060921112,0.0643536722220733,0.045502708058699,0.0249266507280832,0.113784434427898,0.0778521630677691,0.279382549363943,0.0909646170128302,0.0586424395840092,0.181480555117906,0.299252263334577,0.0814856134378027,0.207771205527705,0.389703741651637,0.269598656927855,0.1623863990956,0.186759059874721,1,0.1512598719561
"wgEncodeHaibTfbsEcc1Zbtb7aV0422111PkRep1.broadPeak",0.0548251407425467,0.0359594117445842,0.0310128714954948,0.115211228943387,0.0141976829436956,0.0531194097042598,0.0305384548132176,0.00908896911840919,0.0611367134520755,0.0396176672413608,0.238944643847775,0.0891412174456653,0.0433183971660985,0.170186124395787,0.21021787099151,0.0798424259984166,0.0781663053642171,0.266135059465227,0.259319039866995,0.111110349747793,0.094819063266648,0.1512598719561,1
